YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1995,1,6.78,21,11.1,40.49408056,77.63093333,0,0.17739,99.010719
1995,1,7.31,29,18,41.10582778,78.87472222,0,25.630386,73.083384
1995,1,4.98,26,0,41.11808333,75.82156667,0.166597,2.225331,90.315025
1995,1,7.1,56,8.2,40.76602222,78.56016389,0.107223,11.568503,85.877909
1995,1,8.07,147,11.8,41.54544444,76.31027778,0.045613,41.124442,56.469471
1995,1,7.72,113,25.5,41.97149167,76.71149167,0.031607,22.453518,77.213503
1995,1,7.09,118,33.1,40.11648611,78.39088333,0,6.112906,93.052839
1995,1,7.15,23,28,41.388475,78.30323333,0,0.389007,99.592428
1995,1,7.87,89,16.2,41.98463611,79.107,0,20.09664,79.90336
1995,1,7.12,126,13,41.19501389,75.26866667,1.951466,1.609746,92.554115
1995,1,7.18,492,25.8,41.0196,75.29950833,5.985743,2.952572,86.826694
1995,1,7.8,83,12.9,41.09208889,79.59299722,1.197059,25.022421,65.375668
1995,1,7.27,215,96.4,41.26459722,79.6098,0,71.820739,28.03532
1995,1,4.53,18,52.1,41.51618611,76.96979167,0,4.385748,82.016539
1995,1,7.03,716,23.9,41.06616111,77.23406111,8.265592,2.418543,89.063257
1995,1,7.33,135,9,41.81965833,76.05154444,0.073979,19.194847,79.861916
1995,1,7.13,209,19.7,41.46294444,75.04944444,1.006618,1.480113,91.151575
1995,1,7.28,38,1.4,41.90508056,77.3858,0,57.822315,42.080403
1995,1,6.97,207,59.5,39.87177222,79.0462,0.491309,39.057625,56.450537
1995,1,7,46,16.7,41.11242778,76.59110556,0,15.311865,84.688135
1993,1,7.73,150,242.6,40.44535833,76.05246667,0.071472,59.556069,39.943626
1993,1,7.17,21,15.3,41.66546667,76.51676389,0.031165,1.849426,97.805164
1993,1,5.37,19,35.1,41.30224167,75.44573333,0.147524,0.617229,77.344354
1993,1,7.06,363,17.8,41.10132778,78.08168611,0.02663,8.290749,85.664038
1993,1,7.63,434,344,41.21731389,76.80550278,1.058655,52.874543,45.748287
1993,1,7.02,151,20.3,40.68345833,78.33228333,0,0.398422,99.596503
1993,1,7.15,50,18.8,40.19388333,78.59230278,0,21.839185,77.916495
1993,1,6.78,32,14.3,40.33530833,77.3454,0.027681,2.129977,96.638696
1993,1,7.27,563,33.5,40.39045556,76.68950556,0,19.462082,80.537918
1993,1,7.51,84,12.9,39.83981667,78.24805556,0.162784,80.287543,19.502245
1993,1,7.42,116,15.9,41.95601389,78.23433056,0.077672,14.520602,85.282917
1993,1,7.63,147,16.2,41.8176,79.58671667,0.099574,16.315952,81.044016
1993,1,7.78,269,29.3,41.81394444,79.56366944,0,27.129697,72.870303
1993,1,6.48,1152,11.5,41.34689722,79.80470833,0.084162,22.280733,77.635105
1993,1,6.54,274,16,41.44211944,79.16454167,1.671184,17.498422,80.814365
1993,1,6.81,277,27.7,41.04168889,78.7587,2.063603,24.193726,71.459911
1993,1,7.51,162,43.9,40.60825556,78.97428889,0.555612,23.267913,75.461644
1993,1,7.11,91,66.5,40.14104722,79.26390278,0,0.187942,99.537178
1993,1,7.87,532,41.8,40.06584167,79.90139167,3.616598,45.43604,50.465517
1993,1,7.29,485,78,40.47343056,80.33095278,1.874642,28.503597,54.318468
1993,1,7.92,170,114.1,40.92008333,80.06435,0.034708,46.797954,53.167337
1993,1,6.31,19,1,41.25989167,75.17310278,0.126477,0.036226,88.145803
1993,1,7.51,279,227.7,40.64249167,75.66545556,0.217123,71.164448,28.391655
1993,1,7.65,331,189.3,40.75312778,75.34808611,4.901471,69.749573,25.03644
1993,1,7.34,30,11.6,41.92454722,75.51361667,0.016289,6.513453,93.416271
1993,1,4.77,18,21.7,41.75246111,76.85274444,0.388506,0.064751,84.848269
1993,1,7.38,398,479,41.89739167,76.61705,0.08927,62.940224,36.925872
1993,1,8.02,177,1.6,41.84789722,76.28931667,0.133127,39.269912,59.599702
1993,1,6.77,2017,243,40.99867778,76.17675556,10.567939,5.554724,67.24104
1993,1,7.12,70,4.7,41.09616111,75.81951111,0.124879,1.69967,94.90925
1993,1,4.73,21,44.4,41.3273,76.44073333,0,1.034718,97.083977
1993,1,7.7,236,343.3,41.05998056,76.50935556,0.272226,61.563016,37.674977
1993,1,6.5,335,293,40.90987778,76.71279167,0,89.175364,10.124707
1993,1,8.26,340,46.7,40.71271389,78.68134444,1.680385,37.644281,59.450482
1993,1,7.62,77,10.3,40.8268,78.66651944,0.099333,6.541258,90.867976
1993,1,8.22,172,13.6,40.77370278,78.77733333,0.171124,29.228203,70.576904
1993,1,7.94,197,21.6,40.97858056,78.442175,3.236267,26.821839,68.522608
1993,1,7,25,7.1,41.45521389,78.17125833,0.001655,0.219893,98.960416
1993,1,6.96,53,6,41.26916944,78.40376111,0.029919,0.686443,97.289525
1993,1,6.32,22,55.3,41.27148889,77.87190278,0,0.030258,88.757471
1993,1,7.27,26,3.6,41.50490278,77.52131389,0.022203,0.186289,98.552172
1993,1,6.9,14,4,41.77148611,77.50138056,0,0,100
1993,1,6.63,41,60.6,41.84133611,77.83360278,0,21.663891,78.336109
1993,1,7.01,16,4,41.02258056,77.15089444,0,0.969566,99.027477
1993,1,6.87,17,18.8,41.39453611,77.09641111,0,0.108677,99.891323
1993,1,6.9,66,32,41.54231944,76.85026667,0.036444,2.800671,96.111203
1993,1,7.14,85,29.7,40.52920556,76.98879167,0.029626,27.130629,72.661992
1993,1,7.57,168,246.1,40.72123056,76.72951389,0.084248,63.870345,35.927571
1993,1,7.76,227,218,40.66997222,76.63285,0.507043,54.724191,43.667156
