YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1993,1,6.89,49,1.7,38.15891111,79.47296944,0,21.852446,77.908715
1993,1,6.27,19,0.4,38.08011111,79.49946389,0,0.149863,99.774644
1993,1,8.3,82,21.2,37.81872222,79.49139444,2.160825,27.498155,70.322566
1993,1,8.19,64,24.4,37.26404444,80.32911389,0.02043,24.718936,75.22359
1993,1,8.35,154,8.4,37.178825,79.93635556,5.755816,5.364661,88.56327
1993,1,7.69,160,33.9,37.20230833,80.02563056,0.489203,11.45595,87.843056
1993,1,7.35,44,6.6,37.44358611,79.69870556,0,0.106449,99.893552
1993,1,7.41,39,16.7,36.80743611,80.53991389,0.04658,24.956378,74.165173
1993,1,7.83,428,48,37.11020278,80.52366944,7.166387,67.014589,25.737147
1993,1,7.47,152,38.4,36.72837222,80.74063333,1.04097,46.531003,52.264827
1993,1,8.05,112,52,36.85090278,81.14288611,0,39.097096,60.686301
1993,1,7.34,63,43.9,36.60125278,81.45620556,0,25.642431,74.35757
1993,1,6.7,17,4.8,36.79966111,81.04658889,0,0.262313,99.737688
1993,1,7.22,19,0.8,37.21019722,80.95126389,0,0.426786,99.485077
1993,1,8.14,75,98.8,36.62790278,82.28185,0,22.149846,77.800444
1993,1,7.94,22,16.5,36.71359167,81.65756944,0,0.827451,99.172549
1993,1,8.2,61,65.2,37.02833056,81.77641111,0.238139,31.459288,67.476693
1993,1,8.6,64,80.1,37.02330833,81.740675,0.034617,48.129036,51.611773
1993,1,8.1,131,64.8,37.12005278,81.56265556,0.665179,49.384281,49.363291
1993,1,8.4,126,100.6,36.98560278,81.85358889,0.331882,58.851356,40.805912
1994,1,7.28,1080,86.8,38.8433,77.2242,55.642009,4.864532,36.440242
1994,1,7.14,191,47.9,38.7869,77.8721,1.884028,35.754718,62.20007
1994,1,6.63,97,0,37.5912,76.7214,0,0.180238,97.441064
1994,1,7.13,32,6.1,38.2273,79.3545,0.019012,3.429838,96.167224
1994,1,8.18,56,8.8,37.7907,79.5975,0.212236,7.333499,91.805541
1994,1,6.55,16,0,38.2181,79.3885,0,0.38704,99.589243
1994,1,6.99,47,11.8,37.8039,78.9542,0,22.697894,77.302106
1994,1,6.83,53,3.2,37.867,78.3707,0.588469,10.769055,83.223409
1994,1,5.45,69,0,37.4192,78.6239,0,2.693607,97.306393
1994,1,7.24,155,43,37.4676,77.9799,0.025611,43.518065,50.395788
1994,1,7.3,39,0,37.3067,79.8587,0,0,100
1994,1,7.6,53,13,36.8618,80.0513,0.2712,25.937682,73.718217
1994,1,7.15,102,8,36.5535,79.0171,0,29.840406,65.871552
1994,1,7.18,65,0,37.0416,78.2189,1.323717,10.190449,75.343636
1994,1,7.52,43,15,36.7879,80.6275,0.028006,25.953262,73.382819
1994,1,6.72,15,0,37.1895,81.0456,0.017658,0.070632,99.392683
1994,1,7.87,60,24,37.4353,82.0311,0.029195,1.433834,98.155336
1994,1,7.74,29,28,36.9672,82.25,0,0,99.644168
1994,1,6.88,15,2,38.40711111,79.3623,0,0,100
1994,1,7.18,63,0,39.3483,78.2344,0,0.887624,99.018419
1994,1,6.85,33,1,39.36338889,78.241,0.077046,11.919515,87.177249
1994,1,8.02,204,63,38.19791111,78.9431,3.906738,50.614876,44.767749
1994,1,7.84,30,8,38.295625,79.1613,0,9.845803,89.98457
1994,1,8.32,373,101,38.188275,78.9371,4.849106,61.518057,32.726896
1994,1,7.97,724,137,38.38243333,78.9227,39.063266,36.919597,18.018139
1994,1,7.81,549,2,39.00368056,78.273,4.768003,47.462901,46.794946
1994,1,7.98,289,104,38.90603056,78.4944,3.774714,47.160301,48.783425
1994,1,7.64,61,9,38.766075,78.9127,0.097234,10.6327,89.164374
1994,1,7.97,261,139,39.07205833,78.0422,0.826416,78.181459,20.679774
1994,1,7.81,38,12,38.24548056,79.7647,0.013311,14.151713,85.65255
1994,1,7.8,209,4,38.05223056,79.7821,0.029489,29.451933,70.459584
1994,1,7.26,350,6,37.76815833,79.9942,5.33389,1.012111,91.301035
1994,1,8.15,137,68,37.49018611,79.7966,0.240794,59.506215,39.626066
1994,1,6.37,19,0,37.50176944,80.2258,0,10.689125,88.746474
1994,1,6.12,15,0,37.40859444,80.4381,0,0,99.917515
1994,1,7.53,18,3,38.30961944,79.5626,0,0.942935,99.057065
1994,1,6.75,20,8,37.92480556,79.1502,0.021668,2.596602,95.766347
1994,1,6.46,17,0,37.93613889,79.5665,0,0.095923,97.008759
1994,1,6.64,20,4,37.75450278,79.1877,0,0,99.657295
1994,1,6.83,31,7,37.48019444,79.386,0,0,100
1994,1,7.28,62,9,38.35644722,78.5372,0,0,100
1994,1,8.18,43,23.9,37.33343889,80.2394,0.022687,30.918842,69.035783
1994,1,6.88,99,51,37.20686389,80.0427,4.156843,17.202693,78.640464
1994,1,7.46,111,35,36.96157222,80.2408,0.028393,44.628003,54.890384
1994,1,8.35,157,55.9,36.98431389,81.0461,1.232275,45.239482,53.400709
1994,1,7.28,74,38,36.85613611,80.4549,0,53.452616,46.422059
1994,1,8.32,74,37.9,36.88084722,80.8484,1.365505,58.456416,38.036923
1994,1,7.97,81,62.7,36.87528333,81.2479,0.623534,61.544515,36.364849
1994,1,7.07,14,0,36.97980556,81.4541,0,1.815646,97.852145
1994,1,8.17,79,100,36.88684722,81.6743,0.845286,29.172058,66.900503
1994,1,8.25,112,57.7,36.72146667,82.48,0.724665,31.31911,67.85025
1994,1,8.17,152,67.5,36.91203333,82.0556,11.285526,19.357768,69.04377
1994,1,7.95,333,92.5,36.82144167,82.2624,1.295992,51.0904,47.605388
1994,1,8.23,41,78.1,36.98893889,81.8432,0.33995,28.364375,71.271624
1994,1,7.99,43,23,36.72050278,82.871,0.079506,19.241348,80.669793
1994,1,7.22,32,45,38.7125,78.3037,0,0.131241,99.868759
1994,1,7.85,32,10,38.2063,79.5844,0.05293,18.365418,80.851103
1994,1,7.69,16,2,38.1392,79.7802,0,0.08334,98.652135
1994,1,7.38,35,10,36.7706,80.4573,0,15.898756,82.959817
1994,1,7.28,25,47,36.7005,81.076,0,11.579127,88.420872
1994,1,7.04,54,0,37.1482,80.8229,0.108457,8.166348,91.297652
1994,1,6.92,16,18,36.6183,81.6549,0.015094,4.149246,95.827666
1993,1,8.26,146,39,37.05972,81.13861,0.171773,40.271926,59.005438
1993,1,7.94,69,31.9,37.39528,80.31222,0,46.81917,52.992565
1993,1,8.12,93,45.4,38.48694,79.57222,0.029335,55.252443,44.668553
1993,1,7.83,100,120.6,38.3575,79.03139,0.981728,74.415827,24.331784
1993,1,8.18,66,10.6,36.68889,82.28056,0,0.721225,99.266627
1993,1,8.43,103,23,37.11667,80.27861,0.472045,22.068552,76.701883
1993,1,7.13,195,21,37.73667,79.78889,0.051632,4.232261,95.716107
1993,1,7.49,17,8,36.97861,81.45583,0,1.895951,97.767511
1993,1,7.22,18,4.3,37.41389,80.58417,0.001435,0.465608,99.086209
1993,1,8.07,27,22.3,38.36111,79.47694,0.066959,32.258392,67.606389
1993,1,6.9,34,18.7,36.89444,81.43944,0,3.676261,95.642273
1993,1,7.16,25,3.7,37.78694,80.11389,0.098257,0.119988,99.314063
1993,1,6.84,16,5.8,38.33472,79.23944,0.001999,0.083516,99.634602
1994,1,7.99,160,22,37.05472,81.17194,0.016633,41.268917,57.993819
1994,1,7.88,78,28.7,37.35194,80.38389,0.00659,45.294163,54.567222
1994,1,7.99,99,121,38.35917,79.03,0.981728,74.415827,24.331784
1994,1,8.35,124,36.7,37.11056,80.30194,0.472045,22.068552,76.701883
1994,1,6.99,20,0,37.7425,79.73833,0,0.086272,99.902001
1994,1,7.13,13,0,36.9875,81.43722,0,1.895951,97.767511
1994,1,6.54,16,0,37.41611,80.57972,0.001435,0.465608,99.086209
1994,1,6.24,12,0,36.91278,81.39917,0,0.085638,98.617604
1994,1,7.01,22,1,37.7875,80.12861,0.120523,0.139738,99.302381
1994,1,6.77,12,1.8,38.35028,79.25694,0.002258,0.094341,99.774875
1994,1,8.3,62,9.7,37.71417,79.50694,0.050834,14.716303,83.06027
1993,1,7.91,379,38.1,37.0433,80.7481,3.99597,16.639888,78.35469
1993,1,8.22,395,89.1,37.1567,80.4697,25.004841,51.547033,22.429471
1995,1,5.08,87,4.5,38.758975,80.26630833,0,13.239918,86.369239
1995,1,6.85,32,6.3,39.21004722,80.03378333,0,53.312835,46.687165
1995,1,7.06,14,11,37.82576111,80.73655833,0,9.554928,85.310527
1995,1,6.82,14,5.5,37.94026389,80.10104167,0.01687,0.422974,96.593207
1995,1,7.51,23,10.8,37.82922778,80.72773611,0.007822,18.698924,72.732644
1995,1,7.81,115,163,38.24620278,81.12067222,0.24685,0.178043,94.71399
1995,1,4.59,153,1.6,39.66497778,79.765875,0,0,100
1995,1,7.88,40,8.8,38.79260833,79.21739167,0,17.866113,82.133886
1995,1,7.5,11,14,38.37363056,80.2841,0.045927,3.954057,94.704925
1995,1,7.96,113,60.9,38.30062222,80.921575,2.082511,9.616197,86.490421
1995,1,6.9,51,14.1,37.93989444,80.91631944,0.077735,13.47142,81.512652
1995,1,7.32,20,3.8,38.31481944,80.92977778,0.721454,3.230736,93.160217
1995,1,7.84,45,38.1,38.12429167,81.30777778,0.756428,1.231849,95.718716
1995,1,7.36,51,10.5,37.93828889,80.92248056,0.336018,15.50841,81.647217
1995,1,6.73,13,20.2,38.66443611,80.46915556,0,1.296076,98.689573
1995,1,7.47,29,3.1,39.31122778,80.26738611,6.034258,44.884776,46.310462
1995,1,7.05,50,49.8,39.38312778,79.60821111,0.500499,10.901733,88.458409
1995,1,7,42,28.3,39.573975,79.60595278,0.036841,23.364614,76.277238
1995,1,5.42,15,11.7,39.29514444,79.80868333,0,3.290922,96.709078
1995,1,7.8,131,27.6,39.43006389,78.98451389,0.699082,9.789078,88.917248
1995,1,6.27,84,29.1,39.35479722,79.17448611,0.108589,12.695893,80.487
1995,1,6.67,23,20.2,39.16655556,78.78250833,0,0.734998,96.673339
1995,1,7.23,99,9.3,39.08023056,79.41659167,0.146508,34.311469,56.223626
1995,1,4.27,8,5.4,38.99866944,79.64604722,0.018195,0,98.653573
1995,1,7.2,57,48.5,38.04673056,81.54169722,0.08903,0.155594,87.383914
1995,1,8.11,26,13.5,38.27668611,80.07389444,0,21.517208,78.461324
1995,1,8.12,39,11.5,38.27048611,80.07775556,0,24.564557,75.39324
1995,1,8.27,23,25.4,38.02720833,80.29409444,0,13.886651,86.09853
1995,1,5.82,8,9.7,38.67353889,80.05830833,0,0.343114,99.378067
1995,1,6.79,27,17.7,39.02491111,78.903925,0,0.719153,99.280847
1995,1,7.73,27,10.2,39.35581667,79.92771389,0,5.540734,94.459266
1995,1,7.13,11,10.1,38.420725,80.399475,0.00306,0.503563,98.364445
1995,1,7.93,22,24.3,38.23421944,79.96540833,0,31.993106,68.006894
1995,1,7.04,20,7.8,38.36177778,81.01709722,0,0.717508,98.903427
1995,1,6.65,21,0.7,38.77363056,79.11363056,0,0,100
1995,1,6.8,26,17,37.88855278,81.23986389,0.136979,6.198184,93.390878
1995,1,7.93,41,16.4,38.09166667,81.24537222,0.123054,0.531827,99.261761
1993,1,7.9,231,204.2,39.45983611,77.84214444,1.069494,61.352196,36.445823
1993,1,7.41,292,9,39.16523056,80.36043333,2.06287,34.070647,63.272473
1993,1,7.82,120,23.1,39.99998889,80.54768056,0.035718,36.91829,62.896813
1993,1,7.83,72,3.6,39.01983056,81.60145,0.331457,14.651435,85.017109
1993,1,7.47,130,0.3,39.075675,80.97332222,0.019396,22.100818,77.79978
1993,1,7.23,52,2.9,39.12336667,81.00001111,0,6.126713,93.873287
1993,1,7.2,44,11.2,38.70319444,80.58504722,0,6.820733,93.179267
1993,1,7.14,17,30.3,38.32332778,80.184875,0,1.712221,98.28778
1993,1,7.24,88,40.5,38.24382222,80.786225,0,61.279615,38.457811
1993,1,7.48,53,23.8,38.62761944,81.18240278,0,5.211334,94.668747
1993,1,7.74,95,3.6,38.54767778,81.79918889,0.024155,29.068467,70.829841
1993,1,6.71,29,25.9,37.747875,81.66496389,0.119274,1.367854,98.112417
1993,1,7.51,89,27,38.13519167,82.03940833,0.075721,1.169302,91.703596
1993,1,8.26,45,16.3,38.63848056,79.22899722,0.178509,11.098292,87.910823
1993,1,8.27,66,3.9,39.02202222,79.11494722,0,7.007731,92.583964
1993,1,7.99,24,46,38.68253889,79.52031389,0,12.919932,86.790803
1993,1,8.57,38,9.4,38.58041944,79.35508611,0.003153,27.055725,72.542217
1993,1,6.31,69,2.9,39.07580556,79.01189167,0,1.640602,91.375941
1993,1,6.05,31,6.1,39.48851111,78.84536667,0,0,100
1993,1,4.83,15,26.7,39.15160556,79.32275556,0,0,99.201309
1993,1,7.34,72,9.5,39.2174,78.68089722,0.051155,17.697745,82.069493
1993,1,6.66,46,5.2,39.17072222,77.83543889,0,0,99.991006
1993,1,6.7,31,5.3,39.06215,79.93822222,0,5.389064,94.610936
1993,1,7.04,157,9.6,39.0221,80.06663056,0,31.658462,67.793306
1993,1,3.57,128,18.2,39.55793611,79.805025,1.85537,31.508256,64.096954
1993,1,7.42,31,21.3,38.98109722,79.732225,0.192554,0.887153,96.613911
1993,1,5.46,13,8,39.01116944,79.64585,0.003501,0,98.475263
1993,1,7.51,29,13.1,38.92928056,79.62684444,0.013557,4.781897,95.078543
1993,1,7.64,35,13.9,38.90535833,79.63555833,0.032153,5.101396,93.174983
1993,1,5.37,58,22.5,39.17729444,79.404375,0.126647,1.742477,84.776364
1993,1,7.28,235,6.2,39.09988333,79.43605556,1.11335,2.987859,95.003612
1993,1,7.54,81,17,39.43709722,79.5144,0.272317,29.39131,63.148076
1993,1,7.83,68,6.3,37.484,80.92123611,0.035286,13.867961,86.017285
1993,1,7.92,117,4.6,37.58376111,80.91348333,0.3294,20.26016,77.707107
1993,1,8.51,51,31.8,37.61096389,80.438475,0.178567,28.441494,70.235772
1993,1,7.72,23,12,37.75131667,80.71081944,0,0.172524,99.244947
1993,1,7.8,45,4.8,37.66889722,80.71319167,0.021536,14.544763,84.940985
1993,1,7.32,52,2,38.27620833,79.88661389,0.005447,11.25872,88.492321
1993,1,6.7,38,23.3,38.62641389,79.65340278,0,8.30432,87.651668
1993,1,8.11,30,13.5,37.69818333,80.64093889,0,6.986172,93.013829
1993,1,6.47,110,3.5,38.08541944,81.02462778,0.575485,3.097503,96.185039
1993,1,7.51,183,36.8,38.13090556,81.12440556,0,3.143434,96.856566
1993,1,6.96,22,22.8,38.399075,80.49255833,0.172239,1.372382,97.557384
1993,1,5.34,15,31.1,38.21401111,80.47914167,0,0,99.93868
1993,1,6.32,21,10.4,37.92823333,80.69479167,0,0,98.81867
1993,1,7.5,33,31,38.40721667,81.09775556,0.056502,0.451565,96.836342
1993,1,7.51,70,30.9,38.42836111,80.58347778,0.044133,12.570547,83.735365
1993,1,7.37,33,20.5,38.56048056,80.29109167,0.017132,0.25414,97.810221
1993,1,8.42,38,42.8,37.937375,81.31760278,0,0.778397,91.545315
1994,1,7.28,68,50.8,39.1353,78.8968,0.050898,2.068518,96.654046
1994,1,6.95,51,4,39.003,80.1385,0.03363,7.663663,90.023628
1994,1,4.5,9,4.4,39.0601,79.5221,0.023381,0,98.377352
1994,1,6.19,12,21.1,38.5752,79.7559,0,0.063781,99.936219
1994,1,7.55,24,8.7,38.176,79.9941,0,15.483819,84.501076
1994,1,7.32,83,8.7,37.9704,81.2431,0.117308,3.421664,95.55484
1994,1,6.56,62,17,38.4655,81.0259,0.041123,5.684249,94.233506
1994,1,7.85,103,29,37.8905,81.8234,0.244776,0.136303,97.229959
1994,1,7.83,22,7,37.5222,81.4346,0.066067,1.568367,96.308853
1994,1,7.09,40,3,38.2989,82.2691,0,0.67452,99.325479
1994,1,7.24,118,1,39.28689444,78.4762,0.144214,26.919662,72.369762
1994,1,6.72,48,15,39.55091111,78.2091,0.057604,33.45738,66.062504
1994,1,7.94,39,32.1,39.24524167,79.935,0.042693,34.235161,63.180905
1994,1,6.58,14,19.5,38.87891944,79.9563,0.663102,0.255039,96.890714
1994,1,6.85,19,12.2,38.71513333,79.9614,0.019582,1.263396,98.717021
1994,1,7,26,17.5,39.16328611,79.7127,0.002263,2.637599,96.645173
1994,1,7.11,73,15.4,39.24111667,79.5149,0.017699,10.842099,89.111336
1994,1,7.3,14,31.5,38.97447778,79.7334,0.007852,0.101996,97.435925
1994,1,7.35,87,30.8,39.43141389,79.5002,1.179924,30.728723,62.781473
1994,1,7.17,49,6.4,38.81371944,80.5546,0,5.819155,94.161773
1994,1,8.2,51,33,37.51628333,80.6175,0.076749,11.361262,88.436909
1994,1,7.56,65,0,37.43815556,80.8427,0,6.986727,92.856453
1994,1,7.91,30,22.3,38.32606944,79.9801,0.001952,12.254104,85.382794
1994,1,7.4,31,8,37.81098056,80.8306,0,0.344595,99.524132
1994,1,4.9,32,0,37.71446944,81.0472,0,21.389251,78.009219
1994,1,7.25,50,49,38.36529444,80.7928,0.198673,7.749859,86.296426
1994,1,7.29,29,84.5,38.28589167,81.0185,1.505167,1.333307,68.582709
1994,1,5.85,12,15.7,38.35736111,80.3831,0,0.088956,97.553769
1994,1,7.15,59,1.1,38.46451389,81.3977,0.016927,1.506908,98.178813
1994,1,5.03,9,6.8,38.43868056,80.1761,0.083148,0,99.051594
1994,1,3.78,18,8.4,38.966,79.9579,0.004294,3.992106,94.095337
1994,1,7.55,14,37.1,38.6094,79.9695,0.000049,1.246285,98.500148
1994,1,6.17,7,0,39.0394,79.3373,0.124758,4.57697,81.818509
1994,1,2.87,93,12.1,39.4197,79.7241,0.19431,14.501844,85.003381
1994,1,7.38,83,30,38.5238,80.5782,0.109622,4.14756,92.450559
1994,1,6.41,29,27,38.3584,81.4299,0,0,100
1993,1,7.63,153,213.3,39.46667,78.025,0.104282,43.481412,56.18667
1993,1,7.15,94,12.4,39.47222,78.24778,0.273703,19.416541,79.845253
1993,1,8.02,60,14.6,39.28444,78.45111,0.001835,8.02653,91.676814
1993,1,6.8,16,26.4,38.62222,79.78611,0,0.85167,97.722643
1994,1,8.03,126,133.4,39.46667,78.03667,0.08873,42.710797,56.9235
1994,1,7.09,77,21,39.49917,78.22972,0.238125,18.747428,80.600816
1994,1,7.75,49,9.1,39.27,78.46861,0.001835,8.02653,91.676814
1993,1,7.02,2351,127.1,38.5428,79.8169,0.252185,3.579222,93.203541
1993,1,4.1,81,12.4,38.9505,80.0725,0.269732,3.415774,95.982431
1994,1,6.17,229,303,38.5253,75.6311,0.117124,52.23777,36.871527
